,hour_of_day,hour_of_day_bins,is_weekend,city,merchant_category,payment_method,account_age_years,time_since_last_txn_hrs,time_since_last_txn_hrs_bins,failed_attempts,is_international,pin_changed_recently,is_night_transaction,is_fraud
0,0,,0,Rio,Clothing,Bank Transfer,2.8,1.34,min-25%,0,0,0,1,0
1,3,min-25%,0,Osaka,Crypto Exchange,Bank Transfer,1.7,1.97,min-25%,2,0,0,1,1
2,14,50%-75%,0,Munich,Jewelry,Debit Card,7.3,19.62,75%-max,0,0,0,0,0
3,16,50%-75%,0,Sydney,Clothing,Credit Card,1.6,12.06,50%-75%,0,0,0,0,0
4,23,75%-max,0,Rio,Crypto Exchange,Cheque,2.4,8.15,25%-50%,2,1,0,1,0
5,7,25%-50%,0,Delhi,Online Shopping,Bank Transfer,0.9,7.2,25%-50%,1,0,0,0,0
6,17,50%-75%,0,Mumbai,Education,Cheque,3.9,10.61,50%-75%,0,0,0,0,0
7,21,75%-max,1,Munich,Education,Credit Card,1.6,6.67,25%-50%,0,0,0,0,0
8,3,min-25%,0,Berlin,Travel,Bank Transfer,6.9,24.87,75%-max,1,0,0,1,0
9,17,50%-75%,0,Tokyo,Education,Credit Card,1.7,34.45,75%-max,2,0,0,0,0
10,17,50%-75%,0,Sydney,Crypto Exchange,Cheque,5.2,9.56,50%-75%,0,0,0,0,1
11,20,75%-max,0,Vancouver,Fuel,Mobile Payment,3.7,0.65,min-25%,0,0,0,0,0
12,12,25%-50%,0,Munich,Gaming,Credit Card,4.3,0.56,min-25%,0,0,0,0,0
13,19,75%-max,0,Osaka,Healthcare,Credit Card,0.5,26.57,75%-max,0,0,0,0,0
14,6,min-25%,0,Vancouver,ATM Withdrawal,Crypto,0.3,7.18,25%-50%,0,0,0,1,0
15,23,75%-max,0,Sydney,Healthcare,Credit Card,2.3,7.35,25%-50%,0,0,0,1,0
16,0,,1,Manchester,Grocery,Debit Card,0.8,6.54,25%-50%,0,0,0,1,0
17,16,50%-75%,0,Los Angeles,Healthcare,Crypto,6.4,16.69,75%-max,0,0,0,0,0
18,6,min-25%,0,London,Restaurant,Mobile Payment,5.7,35.01,75%-max,0,0,0,1,0
19,13,50%-75%,0,Mumbai,Entertainment,Bank Transfer,2.5,0.02,min-25%,3,0,0,0,0
20,10,25%-50%,0,Sydney,Fuel,Credit Card,4.8,39.49,75%-max,0,0,0,0,0
21,0,,0,Berlin,Restaurant,Credit Card,4.0,9.38,50%-75%,0,0,0,1,0
22,10,25%-50%,0,Mexico City,Clothing,Debit Card,0.4,9.89,50%-75%,0,0,0,0,0
23,23,75%-max,0,Osaka,Education,Debit Card,5.4,11.89,50%-75%,0,0,0,1,0
24,14,50%-75%,0,Munich,Fuel,Credit Card,0.3,3.61,25%-50%,0,0,0,0,0
25,17,50%-75%,0,Berlin,Healthcare,Mobile Payment,0.1,16.5,50%-75%,0,0,0,0,0
26,8,25%-50%,0,London,Restaurant,Mobile Payment,1.3,17.64,75%-max,4,0,0,0,1
27,16,50%-75%,0,London,Healthcare,Credit Card,1.9,0.16,min-25%,0,0,0,0,0
28,11,25%-50%,0,Mumbai,Utilities,Credit Card,5.9,17.93,75%-max,0,0,0,0,0
29,19,75%-max,1,Delhi,Utilities,Bank Transfer,2.8,2.82,min-25%,0,0,0,0,0
30,12,25%-50%,0,Manchester,Travel,Crypto,0.5,33.1,75%-max,0,0,1,0,0
31,10,25%-50%,0,Delhi,Utilities,Credit Card,9.0,0.67,min-25%,1,1,0,0,1
32,21,75%-max,0,Munich,Restaurant,Credit Card,15.2,4.64,25%-50%,0,1,0,0,0
33,10,25%-50%,0,Melbourne,Online Shopping,Crypto,6.9,11.24,50%-75%,0,1,0,0,0
34,21,75%-max,0,Osaka,Clothing,Credit Card,13.0,0.55,min-25%,0,1,0,0,0
35,16,50%-75%,0,Delhi,Healthcare,Debit Card,0.1,13.08,50%-75%,0,0,0,0,0
36,7,25%-50%,1,Guadalajara,Restaurant,Bank Transfer,0.1,5.02,25%-50%,0,0,0,0,0
37,8,25%-50%,0,Toronto,Online Shopping,Credit Card,6.3,19.84,75%-max,0,0,0,0,0
38,15,50%-75%,0,Mumbai,Travel,Debit Card,18.9,15.34,50%-75%,0,0,0,0,0
39,5,min-25%,1,Toronto,Jewelry,Debit Card,3.7,11.7,50%-75%,1,0,0,1,0
40,18,50%-75%,0,Osaka,Clothing,Credit Card,6.9,5.1,25%-50%,0,0,0,0,0
41,21,75%-max,0,Osaka,Utilities,Debit Card,0.2,1.31,min-25%,0,0,0,0,0
42,7,25%-50%,1,Manchester,Healthcare,Debit Card,2.8,18.42,75%-max,0,0,0,0,0
43,23,75%-max,0,Sydney,Fuel,Bank Transfer,1.5,2.94,min-25%,0,0,0,1,0
44,17,50%-75%,1,Los Angeles,Entertainment,Credit Card,0.8,6.7,25%-50%,3,0,0,0,0
45,22,75%-max,0,Manchester,Fuel,Credit Card,3.3,6.47,25%-50%,0,0,0,1,0
46,9,25%-50%,0,Lyon,ATM Withdrawal,Credit Card,0.4,33.24,75%-max,0,0,0,0,0
47,20,75%-max,0,Berlin,Gaming,Debit Card,4.5,1.35,min-25%,5,0,0,0,0
48,14,50%-75%,0,Toronto,Restaurant,Debit Card,2.4,5.6,25%-50%,1,0,0,0,0
49,14,50%-75%,0,Guadalajara,Travel,Credit Card,3.4,6.87,25%-50%,0,1,0,0,0
50,19,75%-max,0,Munich,Crypto Exchange,Crypto,2.4,2.1,min-25%,0,0,0,0,0
51,2,min-25%,1,Guadalajara,ATM Withdrawal,Credit Card,6.8,14.09,50%-75%,0,0,0,1,1
52,17,50%-75%,1,Berlin,Education,Crypto,11.4,10.47,50%-75%,0,0,0,0,0
53,13,50%-75%,0,New York,Crypto Exchange,Bank Transfer,26.8,3.46,25%-50%,0,0,0,0,0
