,y_test,predictions,precision,recall
3412,1,1,0.08415794929789841,0.8147810218978102
44358,0,0,0.08415794929789841,0.8147810218978102
47340,0,1,0.08415794929789841,0.8147810218978102
47494,0,0,0.08415794929789841,0.8147810218978102
6221,0,1,0.08415794929789841,0.8147810218978102
85270,0,1,0.08415794929789841,0.8147810218978102
6224,0,1,0.08415794929789841,0.8147810218978102
54606,0,0,0.08415794929789841,0.8147810218978102
61222,0,0,0.08415794929789841,0.8147810218978102
14748,0,0,0.08415794929789841,0.8147810218978102
97861,0,1,0.08415794929789841,0.8147810218978102
1320,0,0,0.08415794929789841,0.8147810218978102
88613,0,0,0.08415794929789841,0.8147810218978102
22954,0,1,0.08415794929789841,0.8147810218978102
45308,0,1,0.08415794929789841,0.8147810218978102
42347,0,0,0.08415794929789841,0.8147810218978102
70002,0,0,0.08415794929789841,0.8147810218978102
58400,0,1,0.08415794929789841,0.8147810218978102
98235,0,0,0.08415794929789841,0.8147810218978102
65019,0,1,0.08415794929789841,0.8147810218978102
89949,0,0,0.08415794929789841,0.8147810218978102
28457,0,0,0.08415794929789841,0.8147810218978102
60614,0,1,0.08415794929789841,0.8147810218978102
37067,0,1,0.08415794929789841,0.8147810218978102
7262,0,0,0.08415794929789841,0.8147810218978102
14874,0,0,0.08415794929789841,0.8147810218978102
76098,0,1,0.08415794929789841,0.8147810218978102
69641,1,1,0.08415794929789841,0.8147810218978102
33406,0,1,0.08415794929789841,0.8147810218978102
52205,0,1,0.08415794929789841,0.8147810218978102
40661,0,1,0.08415794929789841,0.8147810218978102
11331,0,1,0.08415794929789841,0.8147810218978102
59701,1,1,0.08415794929789841,0.8147810218978102
77743,0,0,0.08415794929789841,0.8147810218978102
57451,0,1,0.08415794929789841,0.8147810218978102
95954,0,1,0.08415794929789841,0.8147810218978102
78011,0,0,0.08415794929789841,0.8147810218978102
1291,0,1,0.08415794929789841,0.8147810218978102
3698,0,0,0.08415794929789841,0.8147810218978102
40085,0,1,0.08415794929789841,0.8147810218978102
30985,0,1,0.08415794929789841,0.8147810218978102
54032,0,0,0.08415794929789841,0.8147810218978102
77719,0,1,0.08415794929789841,0.8147810218978102
32603,0,1,0.08415794929789841,0.8147810218978102
69930,0,1,0.08415794929789841,0.8147810218978102
41556,0,0,0.08415794929789841,0.8147810218978102
12805,0,0,0.08415794929789841,0.8147810218978102
68104,0,0,0.08415794929789841,0.8147810218978102
12873,0,0,0.08415794929789841,0.8147810218978102
6776,0,1,0.08415794929789841,0.8147810218978102
